Second Largest Eigenvalue: Normalized Laplacian, 	Largest Eigenvalue: Weighted Graph, V2	
1.344383507154452095e+00,4.001313636783062293e+02,1.705000000000000000e+03
1.343918595019228945e+00,4.001916026307560514e+02,1.710000000000000000e+03
1.343423936265368823e+00,4.002329680118439796e+02,1.715000000000000000e+03
1.342957723342104615e+00,4.002932186025771557e+02,1.720000000000000000e+03
1.342461676688063266e+00,4.003537032197606322e+02,1.725000000000000000e+03
1.341994151996786178e+00,4.004069191231097307e+02,1.730000000000000000e+03
1.341525987298185063e+00,4.004671947175571631e+02,1.735000000000000000e+03
1.341027858099598680e+00,4.005156488639012196e+02,1.740000000000000000e+03
1.340558365041884414e+00,4.005688778578883102e+02,1.745000000000000000e+03
1.340088223847871296e+00,4.006291783546315060e+02,1.750000000000000000e+03
1.339617431825869787e+00,4.006703734781660273e+02,1.755000000000000000e+03
1.339175470811201807e+00,4.007304593155400880e+02,1.760000000000000000e+03
1.338703410080265055e+00,4.007837191765459011e+02,1.765000000000000000e+03
1.338230690505753717e+00,4.008319927693138993e+02,1.770000000000000000e+03
1.337786915081090378e+00,4.008850369031930541e+02,1.775000000000000000e+03
1.337312911107773727e+00,4.009453748494597107e+02,1.780000000000000000e+03
1.336867926641881477e+00,4.009863861099983069e+02,1.785000000000000000e+03
1.336422353597378709e+00,4.010465087706336362e+02,1.790000000000000000e+03
1.335976189632539946e+00,4.010875251332023481e+02,1.795000000000000000e+03
1.335499627421552704e+00,4.011478943320642543e+02,1.800000000000000000e+03
1.335052234733631549e+00,4.011889157817921046e+02,1.805000000000000000e+03
1.334604243846368776e+00,4.012419962086561895e+02,1.810000000000000000e+03
1.334185577187287253e+00,4.013019309025551138e+02,1.815000000000000000e+03
1.333736422944814315e+00,4.013429747041136579e+02,1.820000000000000000e+03
1.333286663399542160e+00,4.013840410273973021e+02,1.825000000000000000e+03
1.332836296097644979e+00,4.014442040884308653e+02,1.830000000000000000e+03
1.332415402771892854e+00,4.014850539366848921e+02,1.835000000000000000e+03
1.331963853453956625e+00,4.015381669988694284e+02,1.840000000000000000e+03
1.331541852561633377e+00,4.015860812695153754e+02,1.845000000000000000e+03
1.331119313843211582e+00,4.016389820421699142e+02,1.850000000000000000e+03
1.330665994622973303e+00,4.016800767299923223e+02,1.855000000000000000e+03
1.330242335263061459e+00,4.017280135586177039e+02,1.860000000000000000e+03
1.329818131702916073e+00,4.017809201281532410e+02,1.865000000000000000e+03
1.329393381840012989e+00,4.018218048168489531e+02,1.870000000000000000e+03
1.328968083558268232e+00,4.018626915780946547e+02,1.875000000000000000e+03
1.328542234727894789e+00,4.019156183536571234e+02,1.880000000000000000e+03
1.328115833205289364e+00,4.019565090275708030e+02,1.885000000000000000e+03
1.327719392163477119e+00,4.020042578275880487e+02,1.890000000000000000e+03
1.327291918629226464e+00,4.020571900524296325e+02,1.895000000000000000e+03
1.326863886044330032e+00,4.020980917255175200e+02,1.900000000000000000e+03
1.326465924714968825e+00,4.021387880230366250e+02,1.905000000000000000e+03
1.326036807738020684e+00,4.021797032589810215e+02,1.910000000000000000e+03
1.325637835639532858e+00,4.022204033410229158e+02,1.915000000000000000e+03
1.325238374119660723e+00,4.022802065534457370e+02,1.920000000000000000e+03
1.324807635378234538e+00,4.023211324210407724e+02,1.925000000000000000e+03
1.324407151585780928e+00,4.023618524006522534e+02,1.930000000000000000e+03
1.324006172780705093e+00,4.024025647290696952e+02,1.935000000000000000e+03
1.323604697122896079e+00,4.024432742050262277e+02,1.940000000000000000e+03
1.323202722760807415e+00,4.024960392439746215e+02,1.945000000000000000e+03
1.322800247831378728e+00,4.025367708295402167e+02,1.950000000000000000e+03
1.322397270459910512e+00,4.025774855500949911e+02,1.955000000000000000e+03
1.321993788759969313e+00,4.026182206911068420e+02,1.960000000000000000e+03
1.321620894843601901e+00,4.026587352812137510e+02,1.965000000000000000e+03
1.321216437935544885e+00,4.026994738801013227e+02,1.970000000000000000e+03
1.320811471116604352e+00,4.027402326362640110e+02,1.975000000000000000e+03
1.320437201335923794e+00,4.027807522558689470e+02,1.980000000000000000e+03
1.320031248474270447e+00,4.028215143122661175e+02,1.985000000000000000e+03
1.319656065170050407e+00,4.028620372521029367e+02,1.990000000000000000e+03
1.319249119027758876e+00,4.029028026066393409e+02,1.995000000000000000e+03
1.318873015477948663e+00,4.029433470183589066e+02,2.000000000000000000e+03
